Time,PID,Tickets,Pass,Stride,Runtime
21937,9,16,0,64,1928
21937,10,32,0,32,1928
21937,11,32,0,32,1928
21937,12,32,0,32,1928
21937,13,32,0,32,1928
21937,14,32,0,32,1928
21937,15,32,0,32,439
21937,16,32,0,32,439
21937,17,8,0,128,439
21937,18,2,0,512,439
21937,19,8,0,128,439
21937,20,8,0,128,438
23777,5,1,0,1024,2045
23777,4,8,0,128,11
23777,6,2,0,512,2044
23777,7,4,0,256,2044
23777,8,8,0,128,2044
23777,9,16,0,64,2043
23777,10,32,0,32,2043
23777,11,32,0,32,2043
23777,12,32,0,32,2043
23777,13,32,0,32,2043
23777,14,32,0,32,2043
23777,15,32,0,32,554
23777,16,32,0,32,554
23777,17,8,0,128,554
23777,18,2,0,512,554
23777,19,8,0,128,554
23777,20,8,0,128,553
25473,5,1,0,1024,2151
25473,4,8,0,128,11
25473,6,2,0,512,2150
25473,7,4,0,256,2150
25473,8,8,0,128,2150
25473,9,16,0,64,2149
25473,10,32,0,32,2149
25473,11,32,0,32,2149
25473,12,32,0,32,2149
25473,13,32,0,32,2149
25473,14,32,0,32,2149
25473,15,32,0,32,660
25473,16,32,0,32,660
25473,17,8,0,128,660
25473,18,2,0,512,660
25473,19,8,0,128,660
25473,20,8,0,128,659
27281,5,1,0,1024,2264
27281,4,8,0,128,11
27281,6,2,0,512,2263
27281,7,4,0,256,2263
27281,8,8,0,128,2263
27281,9,16,0,64,2262
27281,10,32,0,32,2262
27281,11,32,0,32,2262
27281,12,32,0,32,2262
27281,13,32,0,32,2262
27281,14,32,0,32,2262
27281,15,32,0,32,773
27281,16,32,0,32,773
27281,17,8,0,128,773
27281,18,2,0,512,773
27281,19,8,0,128,773
27281,20,8,0,128,772
29089,5,1,0,1024,2377
29089,4,8,0,128,11
29089,6,2,0,512,2376
29089,7,4,0,256,2376
29089,8,8,0,128,2376
29089,9,16,0,64,2375
29089,10,32,0,32,2375
29089,11,32,0,32,2375
29089,12,32,0,32,2375
29089,13,32,0,32,2375
29089,14,32,0,32,2375
29089,15,32,0,32,886
29089,16,32,0,32,886
29089,17,8,0,128,886
29089,18,2,0,512,886
29089,19,8,0,128,886
29089,20,8,0,128,885
30785,5,1,0,1024,2483
30785,4,8,0,128,11
30785,6,2,0,512,2482
30785,7,4,0,256,2482
30785,8,8,0,128,2482
30785,9,16,0,64,2481
30785,10,32,0,32,2481
30785,11,32,0,32,2481
30785,12,32,0,32,2481
30785,13,32,0,32,2481
30785,14,32,0,32,2481
30785,15,32,0,32,992
30785,16,32,0,32,992
30785,17,8,0,128,992
30785,18,2,0,512,992
30785,19,8,0,128,992
30785,20,8,0,128,991
32609,5,1,0,1024,2597
32609,4,8,0,128,11
32609,6,2,0,512,2596
32609,7,4,0,256,2596
32609,8,8,0,128,2596
32609,9,16,0,64,2595
32609,10,32,0,32,2595
32609,11,32,0,32,2595
32609,12,32,0,32,2595
32609,13,32,0,32,2595
32609,14,32,0,32,2595
32609,15,32,0,32,1106
32609,16,32,0,32,1106
32609,17,8,0,128,1106
32609,18,2,0,512,1106
32609,19,8,0,128,1106
32609,20,8,0,128,1105
34417,5,1,0,1024,2710
34417,4,8,0,128,11
34417,6,2,0,512,2709
34417,7,4,0,256,2709
34417,8,8,0,128,2709
34417,9,16,0,64,2708
34417,10,32,0,32,2708
34417,11,32,0,32,2708
34417,12,32,0,32,2708
34417,13,32,0,32,2708
34417,14,32,0,32,2708
34417,15,32,0,32,1219
34417,16,32,0,32,1219
34417,17,8,0,128,1219
34417,18,2,0,512,1219
34417,19,8,0,128,1219
34417,20,8,0,128,1218
36225,5,1,0,1024,2823
36225,4,8,0,128,11
36225,6,2,0,512,2822
36225,7,4,0,256,2822
36225,8,8,0,128,2822
36225,9,16,0,64,2821
36225,10,32,0,32,2821
36225,11,32,0,32,2821
36225,12,32,0,32,2821
36225,13,32,0,32,2821
36225,14,32,0,32,2821
36225,15,32,0,32,1332
36225,16,32,0,32,1332
36225,17,8,0,128,1332
36225,18,2,0,512,1332
36225,19,8,0,128,1332
36225,20,8,0,128,1331
37921,5,1,0,1024,2929
37921,4,8,0,128,11
37921,6,2,0,512,2928
37921,7,4,0,256,2928
37921,8,8,0,128,2928
37921,9,16,0,64,2927
37921,10,32,0,32,2927
37921,11,32,0,32,2927
37921,12,32,0,32,2927
37921,13,32,0,32,2927
37921,14,32,0,32,2927
37921,15,32,0,32,1438
37921,16,32,0,32,1438
37921,17,8,0,128,1438
37921,18,2,0,512,1438
37921,19,8,0,128,1438
37921,20,8,0,128,1437
39729,5,1,0,1024,3042
39729,4,8,0,128,11
39729,6,2,0,512,3041
39729,7,4,0,256,3041
39729,8,8,0,128,3041
39729,9,16,0,64,3040
39729,10,32,0,32,3040
39729,11,32,0,32,3040
39729,12,32,0,32,3040
39729,13,32,0,32,3040
39729,14,32,0,32,3040
39729,15,32,0,32,1551
39729,16,32,0,32,1551
39729,17,8,0,128,1551
39729,18,2,0,512,1551
39729,19,8,0,128,1551
39729,20,8,0,128,1550
41537,5,1,0,1024,3155
41537,4,8,0,128,11
41537,6,2,0,512,3154
41537,7,4,0,256,3154
41537,8,8,0,128,3154
41537,9,16,0,64,3153
41537,10,32,0,32,3153
41537,11,32,0,32,3153
41537,12,32,0,32,3153
41537,13,32,0,32,3153
41537,14,32,0,32,3153
41537,15,32,0,32,1664
41537,16,32,0,32,1664
41537,17,8,0,128,1664
41537,18,2,0,512,1664
